car_id,make,model,trim,year,title,description,photo_url,price_aed,mileage_km,body_type,exterior_color,transmission,fuel_type,condition,warranty_years,regional_spec
24,nissan,patrol safari,super safari,2019,Nissan Patrol Safari Super Safari 2019 - GCC Specs - Excellent Condition,"NISSAN VTC SAFARI 2019 GCC FULL options AUTOMATIC
‎نيسان فتك سفاري 2019 خليجية صبغ وكالة ، بحالة الوكالة ، كاملة المواصفات رقم 1 ، أبيض من داخل رمادي ، فتحة ، دفلوك ، ثلاجة ، أعلى المواصفات .
‎عداد المسافات : 150000 كم فقط
‎السعر : 105000 درهم
‎- مع إمكانية التمويل عن طريق البنك لمدة خمس سنوات بحيث يكون :
‎- القسط الشهري : 1800 درهم شهريا""
‎- القسط الشهري : 2000 درهم (بدون دفعه أولى) .
‎- وذلك شامل التسجيل والتأمين الشامل والضريبة ،
‎- مع إمكانية تأجيل القسط الأول لمدة ثلاثة أشهر من تاريخ التسجيل .
‎- لدينا إمكانية التمويل في جميع المصارف والبنوك .
‎- الأوراق المطلوبه :
‎- شهادة راتب
‎- صوره الجواز والإقامة والهويه .
‎- أرسل الأوراق على الواتس أب ، وفي خلال يومين من تسليم الأوراق . بتكون السياره مسجلة بإسمك ، بدون ما تدفع ولا درهم ،
🇦🇪 تفضلوا بزيارتنا 🇦🇪",https://dbz-images.dubizzle.com/images/2026/04/22/700857e90b1a470f8dd7f8d865f25963-.jpeg?impolicy=dpv,,,,,,,,,
25,bmw,m4,competition,2022,BMW M4 Competition X-Drive Convertible-Special Color-Shadow Line Exterior Look,"234,999 AED or 3,834 AED / Month with 20% Down Payment over 5 Years. 0% Down Payment option also available (subject to lender terms & conditions).
__________________________________________
BMW
️MODEL : M4 Competition X-Drive Convertible
️M/Y : 2022
️MILEAGE : 48,377 KM
️EXTERIOR COLOR : Metallic Blue
️INTERIOR COLOR : Blue /Black
️SPECS : Other
-Warranty And Service Contract Available
️OPTIONS :
M4 Competition X Drive
Blue Brake Calipers
19/20 Inch M Competition Rims
Premium Metallic Paint
BMW Lazer Lights
Shadow Line Exterior Pack
BMW Individual Blue Leather Interior
Seat Ventilation Heated/Cooled
Carbon Fiber Interior Trim
Carbon Fiber Steering Wheel
Adaptive Cruise Control
Head Up Display
Harman Kardon Premium Surround Sound System
Wireless Charging Pad
Rear View Camera
Apple Carplay/Android Auto
Ambient Lighting System
Blind Spot Monitoring System
Forward Collision Warning
️ENGINE : 3.0L Twin Power Turbo Inline
️CYLINDERS : 6 Cylinders
️HP : 503
️0-100 km/h : 3.7 sec.
______________
______________
Storage Address:
1 4th St – Al Quoz – Al Quoz Industrial Area 3 – Dubai, United Arab Emirates.
______________
Opening Hours:
Monday-Friday: 9 am - 9pm
Saturday: 9am – 8PM
Sunday: 12pm – 8pm
______________
Welcome to The Car Superstore, the ultimate destination for luxury vehicles in the UAE. Owned by a British expat with over 14 years of automotive experience in the UAE and over 30 years of international expertise, we bring unparalleled knowledge and expertise in motor industry.
As the largest indoor luxury vehicle storage facility in Dubai, we provide a secure and pristine environment to store your valuable cars. O",https://dbz-images.dubizzle.com/images/2026/03/21/e237ac82a3a74e0cb9be7fa24eb140f5-.jpeg?impolicy=dpv,234999.0,48377.0,convertible,Metallic Blue,,petrol,used,,
26,gwm,wingle 5,other,2026,GWM WINGLE5 4X4 DC 2.4L 2026 PETROL (EXPORT ONLY),GWM WINGLE5 4X4 DC 2.4L 2026 PETROL (EXPORT ONLY),https://dbz-images.dubizzle.com/images/2026/02/27/4f621c777563465e8f5c86708d0c4e18-.jpeg?impolicy=dpv,,,pickup,,,petrol,new,,
27,ford,mustang,ecoboost premium,2021,Ford Mustang Convertable 2021 0% Downpayment EMI 1375 Free Insurance Free Registration,"Ford Mustang EcoBoast Premium Sound System 2021 Model Convertable available with 0% Downpayment Including Insurance Registration RTA fees and all other buying expenses Documents Required Visa Copy ID Copy Passport Copy Salary certificate Bank statement 3 months
Free Insurance
Free Registration
Warranty / Service Contract 2 year
Ceramic Coating/ Tinting",https://dbz-images.dubizzle.com/images/2026/05/17/30ec8f55ad1a43a1a9d916a474182e94-.jpeg?impolicy=dpv,,,convertible,,,,,2.0,
28,toyota,hilux,adventure,2022,Toyota Hilux Adventure 2022 Facelifted 2026 - GCC Specs - Excellent Condition,"2022 Toyota Hilux Adventure – 2.7L V4 Petrol | Automatic
100- 199 HP
--------------------------------------------
GCC Specs
24280 kms
1. Black with leather Interior
2. Front and Rear Parking Sensors
3. Climate Control
4. Keyless Entry and Start
5. Park Assist
6. Bluetooth System
7. Cruise Control
8. Tiptronic Gears
9. 360 Degree Camera
10. Side Steps
11. Fog Lights
12. 4 Wheel Drive
13. Dual-Zone Auto Climate Control
Experience unmatched durability and performance with the 2022 Toyota Hilux Adventure, designed for both off-road capability and everyday driving comfort. This premium full-option model is equipped with top-tier features",https://dbz-images.dubizzle.com/images/2026/04/07/e24d6a22cc2d4c69abecaa790ba0cae9-.jpeg?impolicy=dpv,,24280.0,,Black,automatic,petrol,used,,GCC
29,rolls-royce,ghost,standard,2021,Fully loaded original paint no accident completely service under warranty and service contract,"For sale: A stunning 2021 Rolls-Royce Ghost Standard, GCC specifications. This luxurious vehicle is in pristine condition and offers an unparalleled driving experience. A perfect blend of elegance, power, and cutting-edge technology. Contact now for more details.
The car is available for viewing in Dubai. For more information, visit our Instagram page. Find your dream car at ADM_vision.ae.
We speak Russian, Arabic, and English.
For Urdu, Hindi, and English.
We can provide a warranty and service contract.
Payment options: Cash, USDT, bank loan.
We can Buy back Cars From you",https://dbz-images.dubizzle.com/images/2026/04/08/26bc28ea4d914d8f81dfd59e3444b47a-.jpeg?impolicy=dpv,,,sedan,,,,used,,GCC
30,toyota,bz4x,other,2025,2025 Toyota BZ4X - GCC Specs - Brand New,"Brand new 2025 Toyota BZ4X with GCC specifications. Experience the future of driving with this all-electric SUV. Features include a spacious interior, advanced safety features, and a long driving range. Perfect for navigating the UAE roads with zero emissions. Contact us today for a test drive!",https://dbz-images.dubizzle.com/images/2026/04/30/c66cf78520bd4229bdf87cc797e5e8a2-.jpeg?impolicy=dpv,,,suv,,,electric,new,,GCC
31,rolls-royce,wraith,other,2015,ROLLS ROYCE WRAITH 2015 GCC,"رولز رويس ريث 2015 اللون الاساسي عنابي الاحمر من الداخل بيج عليه جلاد Nardo Grey مشغول عند كار دب فل 4 فصوص سقف نجوم بدون صيغ
ROLLS ROYCE WRAITH 2015 GCC
113000km
Financing is available
Abu Dhabi - AL shamkhah",https://dbz-images.dubizzle.com/images/2025/02/15/5c013904bae6416cb0646e305d420b62-.jpeg?impolicy=dpv,,113000.0,coupe,Grey,,,used,,GCC
32,mercedes-benz,c-class,c200,2019,LOVELY MERCEDES C200 COUPE || FULL OPTION || GCC || RED INTERIOR || PANORAMIC,"ALHOOT MOTORS DEALS WITH GCC CARS ONLY!
Trusted CARS dealership in the UAE.
""Customer first"" approach before, during and after sale
Inclusive
• 1 Free Service
• 1 Detailing & Car Care
• 1 Year Free Insurance
(FOR CASH DEALS ONLY)
Best MERCEDES C200 COUPE in UAE
- Highest Category
- Recently Serviced
- Mechanical Issue Free
- 4 New Condition Tires
- Original Keys
- GCC
- Full Service
- Guaranteed Chassis Accident Free
- Clean & Neat Inside/Outside
- Single Owner
- Major Service Done
-----------------------------------------------
We are Open Saturday to Thursday from 9:00am to 10pm | Friday from 4:00pm to 10pm
-----------------------------------------------
-----------------------------------------------
Address: Souq Al Haraj, Showroom 58, Along Mohammad Bin Zayed Road, Sharjah, United Arab Emirates
Find us on Google Maps ""ALHOOT MOTORS""
-----------------------------------------------
Selling Your Car to Us:
We accept GCC cars for trade in, our team will be more than happy to help.
-----------------------------------------------
Follow us on our Social Media Pages
‎الحوت موتورز - ALHoot Motors
Tiktok: @alhoot.motors
-----------------------------------------------
We do Bank Finance also
- Employed
- Self-Employed
- Company
-----------------------------------------------
""DON'T DREAM IT, DRIVE IT with ALHOOT MOTORS""",https://dbz-images.dubizzle.com/images/2025/04/30/58925a23fd9f4b3cb4b180e9370a9b79-.jpeg?impolicy=dpv,,,coupe,,,,used,,GCC
33,dodge,charger,r/t scat pack,2023,Dodge Charger R/T Scat Pack Swinger Wide Body 1 Of 1000 Full Service History GCC 2023 6.4L V8,"- Dodge Charger RT Scat Pack Swinger Wide Body
- 1 of 1000
- Year: 2023
- GCC Specifications
- Mileage: 6000 km
- Engine: 6.4L V8 ( 485HP )
- Colour: Green exterior with Black leather interior
Do not hesitate to call us for any info!
Our services also include:
- Car financing, purchasing, and trading.
- Vehicle insurance.
- Global export services.
- Window tinting.
- Ceramic coating and detailing.
Our showroom is open all week long from 9.00am to 8.00pm
Oasis Cars, Showroom 244, Dubai Auto Zone, DUCAMZ - Ras Al Khor - Dubai",https://dbz-images.dubizzle.com/images/2025/02/21/df77eaf3b84c4826ab98720efad3bb95-.jpeg?impolicy=dpv,,6000.0,sedan,Green,,petrol,used,,GCC
34,land rover,range rover,vogue,2021,2021 - RANGE ROVER VOGUE P525 AUTOBIOGRAPHY - IMMACULATE CAR,"224,999 AED or 4,446 AED / Month with 20% Down Payment over 5 Years. 0% Down Payment option also available (subject to lender terms & conditions).
__________________________________________
️RANGE ROVER
️MODEL : VOGUE P525 AUTOBIOGRAPHY
️M/Y : 2021
️MILEAGE : 73,756 KM
️EXTERIOR COLOR : Fuji white
️INTERIOR COLOR : Red
️SPECS : European
️OPTIONS :
️22 Inch Multi spoke design rims 2 tone Silver/Grey Black pack
️Meridian premium surround sound system
️Seat ventilation heated/cooled with massage function
️Panoramic roof
️Apple carplay/Android auto
️360 degree view cameras
️Alcantara headliner
️Rear seat entertainment
️Leather/wood steering wheel
️Cooler box
️Blind spot monitoring system
️Adaptive cruise control
️ENGINE : 5.0L Supercharged
️CYLINDERS : V8
️HP : 518 hp
️0-100 km/h : 5.4 sec.
______________
______________
Storage Address:
1 4th St – Al Quoz – Al Quoz Industrial Area 3 – Dubai, United Arab Emirates.
______________
Opening Hours:
Monday-Friday: 9 am - 9pm
Saturday: 9am – 8PM
Sunday: 12pm – 8pm
______________
Welcome to The Car Superstore, the ultimate destination for luxury vehicles in the UAE. Owned by a British expat with over 14 years of automotive experience in the UAE and over 30 years of international expertise, we bring unparalleled knowledge and expertise in motor industry.
As the largest indoor luxury vehicle storage facility in Dubai, we provide a secure and pristine environment to store your valuable cars. Our state-of-the-art facility ensures that your vehicles are protected from the elements and maintained in optimal condition.
At The Car Superstore, we also specialize in online vehicle sales, making it convenient for you to explore",https://dbz-images.dubizzle.com/images/2025/06/03/4f66086626b84ba4a3116750f3878f75-.jpeg?impolicy=dpv,224999.0,73756.0,,Fuji white,,,,,European
35,chevrolet,tahoe,rst,2023,AED 3737/month | 2023 Chevrolet Tahoe RST | GCC Specs | Ref#393508,"Starting from 3737 per month
Payable in 60 months
20% down payment
**Bank terms & conditions may apply
2023
Chevrolet Tahoe
4000+ cc 8 cylinders
400 - 499 HP
--------------------------------------------
GCC Specs
48203 kms
1. White with Leather Interior
2. Bluetooth System
3. Premium Sound System
4. Adaptive Cruise Control
5. Tiptronic Gears
6. Park Assist
7. Lane Change Assist
8. Blind Spot Indicator
9. Adaptive Suspension
10. Power Seats
11. Heated and Cooled Seats
12. Height Control
13. Panoramic Sunroof
14. Keyless Entry and Start
15. 360 Degree Camera
16. Front and Rear Parking Sensors
17. 4 Wheel Drive
18. Side Steps
--------------------------------------------
AED 245900
--------------------------------------------
Buy this car with confidence from dubizzle cars!
What is dubizzle cars?
We believe the process of buying and selling a car in the UAE should be easy, transparent, and hassle-free. We help sellers find the right buyers for their cars, and buyers find the right cars for their needs.
What to expect from dubizzle cars?
✅ No guesswork
Know what you're buying with our standard condition report. All cars undergo a thorough bumper-to-bumper inspection at the time of listing and a 120-point report is available for serious buyers, which checks for engine leaks, electrical components, exterior paint condition and accident history, interior condition, and tire condition.
✅ No stress
Relax as the experts at dubizzle cars do all the work for you. We manage the interaction between the buyer and seller, from beginning to end. Your funds are fully protected at the transaction stage since we manage the ownership title transfer at RTA/Muroor.
Best part?
This service is provided to you by a team of professionals who ar",https://dbz-images.dubizzle.com/images/2025/11/12/cfbbaa31-fd7b-4c1e-9500-bbebf18f3205/7479b569b18441c0be12afd7cb1bd367-.jpg?impolicy=dpc,245900.0,48203.0,suv,White,automatic,petrol,used,,GCC
36,bmw,3-series,330i,2025,BMW 330i M Sport - 5 Years Warranty / 5 Years Free Service. Free Insurance - Window tint,"Vehicle type: BMW 330i Luxury M Sport Package.
Certified pre-owned
Year: 2025
Estimated Mileage: 500 km
Summer Offer: AED 225,000/-
Price includes the following:
* Bal: 5 Years or 200,000 km BMW Warranty.
* Bal: 5 Years or 100,000 km BMW Service Package.
* Free 1st Year Comprehensive Insurance with Agency Repair.
* Free 3M Window Tint Silver Package.
* Complimentary first year registration & number plates.
* BMW Connected Drive Package.
* Complimentary Home Delivery.
* Price includes 5% VAT.
For more information please call me.",https://dbz-images.dubizzle.com/images/2025/12/10/b6873ad6315649bdb1a4ee30bb7bf0d2-.jpeg?impolicy=dpv,225000.0,500.0,sedan,,,,used,5.0,
37,bugatti,chiron,standard,2017,2017 Bugatti Chiron,"Bugatti represents the pinnacle of modern hypercar engineering, and the Chiron is no exception. An extraordinary fusion of power, craftsmanship, and presence. Beautifully finished here in Bugatti Light Blue & Nocturne, a striking two-tone specification that emphasises the car’s sculpted lines and unmistakable identity. The contrast between the vibrant Light Blue and the deep, elegant Nocturne creates a visual character that is both dynamic and timeless, showcasing the Chiron’s design with exceptional clarity.
Underneath its captivating exterior lies Bugatti’s 8.0-litre quad-turbocharged W16 engine, delivering 1,479 horsepower through its four wheel drive system. The Chiron’s meticulous engineering provide effortless acceleration acheiving a 0-186mph time of just 13.6 seconds. Whether cruising comfortably or demonstrating its immense performance capability, the Chiron offers a driving experience unlike others.
This particular Chiron is accompanied by a collection of highly desirable factory items that further elevate the provenance of this iconic car. Included with the sale is the metal presentation case containing the coveted Speed Key, the USB drive with official factory build photos, and the original Bugatti car cover—all hallmark accessories for collectors seeking a complete and meticulously preserved example.
Optional Extras:
20""/21"" Classique Wheels
Wheels in Gloss Black
Bugatti Light Blue Sport Brake Calipers
Bugatti Light Blue & Nocturne Exterior Paint
Nocturne Horse Shoe Grill Surround
Nocturne Wing Mirrors
Bugatti Light Blue & Beluga Black Leather Interior
Quilted Comfort Seats with Carbon Fibre Backs
Beluga Black Seat Belts
Carbon Package Steering Wheel with Black Alcantara Grips
Chiron Metal Presentation Box Including: Speed Key, USB Stick with Build Photos & Car Cover",https://dbz-images.dubizzle.com/images/2026/01/16/9bb62ffea52b46fd8e6939e277c98599-.jpeg?impolicy=dpv,,,,,,,,,
38,audi,q8,55 tfsi quattro s line,2023,"4,000 P.M | 0% DownPayment | Under Warranty | SummerOffer ABT BodyKit","SUMMER OFFER ☀️⏳
✅ FREE REGISTRATION 📝
✅ FREE WINDOW TINTING 🪟✨
✅ FREE 1 YEAR PREMIUM WARRANTY 🛡️📅
✅ FREE SALIK TAG 🚗🔖
T&Cs apply.
Under Premium Warranty
⸻
Why This Audi Q8 55 TFSI Quattro S Line?
Luxury sport SUV combining sophisticated design, advanced technology, and powerful V6 performance with quattro all-wheel drive capability. This 2023 model is a pristine, accident-free GCC example with full service history and excellent condition. It comes with comprehensive warranty and service package for complete peace of mind. We offer this exceptional luxury SUV at the most competitive price in the market.
⸻
Flexible Bank Financing Options:
• Option 1: AED 4,000/month for 5 years – 0% Down Payment
• Option 2: AED 2,700/month for 5 years – 20% Down Payment
Selling Price: AED 204,999
(Plus applicable government taxes)
⸻
Audi Q8 55 TFSI Quattro S Line Highlights:
• 3.0L V6 TFSI Engine
• quattro All-Wheel Drive System
• 8-Speed Tiptronic Automatic Transmission
• S Line Exterior & Interior Package
• Audi Virtual Cockpit Plus
• MMI Navigation Plus with Touchscreen
• Apple CarPlay & Android Auto
• Bang & Olufsen Premium Sound System
• Panoramic Glass Sunroof
• 360° Camera & Parking Sensors
• Keyless Entry & Push Start
• Leather Sports Seats with Power Adjustment
• 21"" Audi Sport Alloy Wheels
• Multiple Drive Modes
• Advanced Safety Features
• Heating & Cooling Seats
• Head-Up Display
• ABT Sport Body Kit
⸻
Details:
• Mileage: 89,000 KM
• Warranty: 1 Year Premium Warranty
• Service: Can Be Added
• Ownership: GCC Spec | S Line Package | Accident-Free | Original Paint | Full Service History
⸻
Call/WhatsApp:
Website:
V",https://dbz-images.dubizzle.com/images/2026/02/19/6233d97dbc994b3da98981afc9609262-.jpeg?impolicy=dpv,204999.0,89000.0,suv,,automatic,petrol,used,1.0,GCC
39,audi,q8,55 tfsi quattro s line,2023,"4,000 P.M | 0% DownPayment | Under Warranty | SummerOffer ABT BodyKit","SUMMER OFFER ☀️⏳
✅ FREE REGISTRATION 📝
✅ FREE WINDOW TINTING 🪟✨
✅ FREE 1 YEAR PREMIUM WARRANTY 🛡️📅
✅ FREE SALIK TAG 🚗🔖
T&Cs apply.
Under Premium Warranty
⸻
Why This Audi Q8 55 TFSI Quattro S Line?
Luxury sport SUV combining sophisticated design, advanced technology, and powerful V6 performance with quattro all-wheel drive capability. This 2023 model is a pristine, accident-free GCC example with full service history and excellent condition. It comes with comprehensive warranty and service package for complete peace of mind. We offer this exceptional luxury SUV at the most competitive price in the market.
⸻
Flexible Bank Financing Options:
• Option 1: AED 4,000/month for 5 years – 0% Down Payment
• Option 2: AED 2,700/month for 5 years – 20% Down Payment
Selling Price: AED 204,999
(Plus applicable government taxes)
⸻
Audi Q8 55 TFSI Quattro S Line Highlights:
• 3.0L V6 TFSI Engine
• quattro All-Wheel Drive System
• 8-Speed Tiptronic Automatic Transmission
• S Line Exterior & Interior Package
• Audi Virtual Cockpit Plus
• MMI Navigation Plus with Touchscreen
• Apple CarPlay & Android Auto
• Bang & Olufsen Premium Sound System
• Panoramic Glass Sunroof
• 360° Camera & Parking Sensors
• Keyless Entry & Push Start
• Leather Sports Seats with Power Adjustment
• 21"" Audi Sport Alloy Wheels
• Multiple Drive Modes
• Advanced Safety Features
• Heating & Cooling Seats
• Head-Up Display
• ABT Sport Body Kit
⸻
Details:
• Mileage: 89,000 KM
• Warranty: 1 Year Premium Warranty
• Service: Can Be Added
• Ownership: GCC Spec | S Line Package | Accident-Free | Original Paint | Full Service History
⸻
Call/WhatsApp:
Website:
V",https://dbz-images.dubizzle.com/images/2026/02/21/4df27149f266403f9399913b2e5ef829-.jpeg?impolicy=dpv,204999.0,89000.0,suv,,automatic,,used,1.0,GCC
40,audi,q8,55 tfsi quattro s line,2023,"4,000 P.M | 0% DownPayment | Under Warranty | SummerOffer ABT BodyKit","SUMMER OFFER ☀️⏳
✅ FREE REGISTRATION 📝
✅ FREE WINDOW TINTING 🪟✨
✅ FREE 1 YEAR PREMIUM WARRANTY 🛡️📅
✅ FREE SALIK TAG 🚗🔖
T&Cs apply.
Under Premium Warranty
⸻
Why This Audi Q8 55 TFSI Quattro S Line?
Luxury sport SUV combining sophisticated design, advanced technology, and powerful V6 performance with quattro all-wheel drive capability. This 2023 model is a pristine, accident-free GCC example with full service history and excellent condition. It comes with comprehensive warranty and service package for complete peace of mind. We offer this exceptional luxury SUV at the most competitive price in the market.
⸻
Flexible Bank Financing Options:
• Option 1: AED 4,000/month for 5 years – 0% Down Payment
• Option 2: AED 2,700/month for 5 years – 20% Down Payment
Selling Price: AED 204,999
(Plus applicable government taxes)
⸻
Audi Q8 55 TFSI Quattro S Line Highlights:
• 3.0L V6 TFSI Engine
• quattro All-Wheel Drive System
• 8-Speed Tiptronic Automatic Transmission
• S Line Exterior & Interior Package
• Audi Virtual Cockpit Plus
• MMI Navigation Plus with Touchscreen
• Apple CarPlay & Android Auto
• Bang & Olufsen Premium Sound System
• Panoramic Glass Sunroof
• 360° Camera & Parking Sensors
• Keyless Entry & Push Start
• Leather Sports Seats with Power Adjustment
• 21"" Audi Sport Alloy Wheels
• Multiple Drive Modes
• Advanced Safety Features
• Heating & Cooling Seats
• Head-Up Display
• ABT Sport Body Kit
⸻
Details:
• Mileage: 89,000 KM
• Warranty: 1 Year Premium Warranty
• Service: Can Be Added
• Ownership: GCC Spec | S Line Package | Accident-Free | Original Paint | Full Service History
⸻
Call/WhatsApp:
Website:
V",https://dbz-images.dubizzle.com/images/2026/01/16/96ff2902f0874574aa24bd6b3c946b8d-.jpeg?impolicy=dpv,204999.0,89000.0,suv,,automatic,petrol,used,1.0,GCC
41,nissan,sunny,s,2023,Nissan Sunny 2023 S 1.5L_GCC Specs _Monthly Installment 550 aed,"Nissan Sunny 2023 S 1.5L
GCC Specs 1️⃣
Perfect Conditions2️⃣
83.000KM
25.000AED
Monthly Installment 550 aed
AVAILABLE AT AL RUKN ALSAUDI 259
For Bank Finance We have 3 Options
1- 20% Down Payment Excluding Buying Expenses
2- With Zero Down Payment Excluding Buying Expenses
3- With zero down Payment Including All Buying Expenses
Buying expenses are included
Fully Comprehensive Insurance
Car Registration",https://dbz-images.dubizzle.com/images/2026/01/20/6ab563222324477585e76393d5ad38bd-.jpeg?impolicy=dpv,25000.0,83000.0,,,,,,,GCC
42,nissan,patrol,le platinum,2024,‏ ‏معرض بن برغش للسيارات أبوظبي مدينة بني ياس,‏نيسان باترول بلاتينيوم موديل 2024 Zero متر ثمانية سلندر آخر إصدار جديد ضمان الوكيل المسعود رقم واحد فل ابيشن أعلى مواصفات الكمية محدودة جدا جاهزة للتسجيل المحلي,https://dbz-images.dubizzle.com/images/2026/01/22/02b1793623384c7e8ad5235f9e863b86-.jpeg?impolicy=dpv,,0.0,suv,,,,new,,
43,nissan,patrol,le t2,2023,AED 2842/month | 2023 Nissan Patrol LE T2 | GCC Specs | Ref#420706,"Starting from 2842 per month
Payable in 60 months
20% down payment
**Bank terms & conditions may apply
2023
Nissan Patrol
4000+ cc 8 cylinders
400 - 499 HP
--------------------------------------------
GCC Specs
79364 kms
1. Green with Leather Interior
2. Power Sunroof
3. Keyless Entry and Start
4. Power Seats
5. Rear View Camera
6. Bluetooth System
7. Blind Spot Indicator
8. Cruise Control
9. Tiptronic Gears
10. Park Assist
11. Front and Rear Parking Sensors
12. Side Steps
13. Fog Lights
14. 4 Wheel Drive
--------------------------------------------
AED 186999
--------------------------------------------
Buy this car with confidence from dubizzle cars!
What is dubizzle cars?
We believe the process of buying and selling a car in the UAE should be easy, transparent, and hassle-free. We help sellers find the right buyers for their cars, and buyers find the right cars for their needs.
What to expect from dubizzle cars?
✅ No guesswork
Know what you're buying with our standard condition report. All cars undergo a thorough bumper-to-bumper inspection at the time of listing and a 120-point report is available for serious buyers, which checks for engine leaks, electrical components, exterior paint condition and accident history, interior condition, and tire condition.
✅ No stress
Relax as the experts at dubizzle cars do all the work for you. We manage the interaction between the buyer and seller, from beginning to end. Your funds are fully protected at the transaction stage since we manage the ownership title transfer at RTA/Muroor.
Best part?
Need a more comprehensive inspection?
Upgrade to the advanced",https://dbz-images.dubizzle.com/images/2026/06/10/755708074f314d658b5889ee97990998-.jpeg?impolicy=dpc,186999.0,79364.0,suv,Green,automatic,petrol,used,,GCC
44,nissan,kicks,sv,2019,INSTALLMENT! GCC NISSAN KICKS 2019 MODEL AVAILABLE ON BANK FINANCE AND CASH,"GCC NISSAN KICKS SV 2019 MODEL
AVAILABLE ON BANK FINANCE AND CASH BOTH
- Get started today! First installment is after 2 to 3 months!
INCLUDES FREEBIES!
Free Change Oil
Free TINT
Free Warranty
OTHER:
• Single Owner
• GCC Specs
• Reverse camera
• 1.5 LITRE ENGINE
• 4CYLINDER
• 53,000KM ONLY!
* Required Documents:
• Visa
• Passport
• Emirates ID
• Driving License
• Salary Certificate
• 3 Months Bank Statement",https://dbz-images.dubizzle.com/images/2025/08/05/b4c28a0c7cc54432b3d07b92549ffe21-.jpeg?impolicy=dpv,,53000.0,suv,,automatic,petrol,used,,GCC
45,land rover,range rover,autobiography,2015,Range Rover Autobiography 2015 Gcc Specs V8 Supercharge,"Features & Luxury
“Autobiography” is a top-trim level with many luxury & tech touches. Some highlights:
• Very high-end interior: semi-aniline leather upholstery, extensive use of wood veneers, contrast stitching, metal finishes. ￼
• Adjustable, heated, vented, sometimes massaging seats (front & often rear depending on variant). ￼
• Four-zone climate control. ￼
• Panorama roof (sliding/tilt-and-slide), power blinds/shades. ￼
• Advanced driver aids: surround cameras, towing assist, blind-spot monitoring, reverse-traffic detection, etc. ￼
• Premium sound systems, lots of infotainment tech. Optional extras for even more luxury. ￼",https://dbz-images.dubizzle.com/images/2025/10/13/249c606a591547cab9b985df9029f6a6-.jpeg?impolicy=dpv,,,,,,,,,GCC
46,ford,territory,titanium,2024,"AED 1,600 P.M | 2024 Ford Territory Titanium | 5 Years Ford Warranty and Service Contract | GCC |","AED 1,600 P.M | 2024 Ford Territory Titanium EcoBoost | Under Ford Warranty | GCC | 93,000 AED
✅ GCC Specs
✅ Full Service History by Agency (Al Tayer Motors)
✅ Ford Warranty Till February 2029 or 100,000 km (Al Tayer Motors)
✅ Ford Service Contract Till February 2029 or 100,000 km (Al Tayer Motors)
✅ Engine Specs: 1.8L 4-Cyl Turbo — 190 HP
AED 1,600 Monthly (20% Down Payment) Over 5 Years.
Flexible Down Payment Option.
—————————
VEHICLE SPECS:
Last Service: 34,000 Km (05/02/2026)
Next Service: 43,000 Km (05/08/2026)
GCC Specs
5 Doors / 5 Seats
4 Cylinders / Gasoline
34,277 Km
190 HP
Front Wheel Drive
—————————
OPTIONS & FEATURES:
Radar
Rear Camera
Front and Rear Sensors
Power Tailgate
Power Seats
Leather Seats
Wireless Charger
Cruise Control
Lane Assist
Blind Spot Monitoring
Keyless Entry
Keyless Start
Panoramic Roof
—————————
CONTACT:
Anna (English & Russian)
William (Arabic & English)
Majid (Arabic & English)
—————————
FINANCING (Required):
1- Emirates ID
2- Emirates Driving License (full cover insurance for loan applicable only)
3- Passport/Visa
4- Salary Certificate
5- Bank Statement (3 months)
—————————
At IQ Auto Dubai, we specialize in buying and selling prestige luxury and premium sports cars of GCC specification.
id: (A+)RTF44559",https://dbz-images.dubizzle.com/images/2026/02/20/78f1cf0aa1414e5ea682f4eb35bacad9-.jpeg?impolicy=dpv,,,,,,,,,
